"Rock Dis Funky Joint","Poor Righteous Teachers","2018-02-09 16:32:22.487",,3
"Might God   7016936","Danny Kioko","2016-10-12 08:43:18.112258",,3
"II. Andante","Various Artists","2018-02-05 17:25:49.797",TRUE,3
"Hardhearted Hannah","Various Artists","2018-01-25 11:00:26.269",,3
"Your Body","Various Artists","2019-11-06 10:52:27.301",TRUE,2
"Yesu Nakupenda","Jeniffer Mgendi","2018-07-13 08:09:22.63264",,3
"Phenomena 2000 (Destination)","Various Artists","2018-02-23 17:18:44.912",TRUE,3
"Asifiwe","Mtetezi Rehema Gospel Singers","2016-10-12 08:33:49.512588",,3
"Remember","The Raveonettes","2018-01-24 12:07:40.945",TRUE,3
"Allegro Molto Appassionato","Uto Ughi","2018-02-08 06:36:39.804",TRUE,3
"Merci Patron","Les Charlots","2018-01-25 06:32:10.985",TRUE,3
"Blowin' In The Wind","Various Artists","2018-01-25 06:15:00.915",TRUE,-3
"Lee Tchee","Lee Konitz","2018-02-23 22:27:47.749",TRUE,3
"Shosholoza","Ladysmith Black Mambazo","2016-10-12 08:42:33.612354",,3
"Loco (Tu Forma de Ser)","Los Auténticos Decadentes","2018-01-31 17:13:12.736",TRUE,3
"Mdano 5th Movement","Various Artists","2018-05-03 11:56:54.124",TRUE,3
"His Blood Still Works","Joyous Celebration","2018-02-09 14:07:00.673",TRUE,3
"Igreja do Senhor","Marcus Salles","2018-02-08 14:42:10.535",TRUE,-3
"Lela","Bohemia","2018-02-09 06:27:27.468",TRUE,3
"Aao Na Aao Na","Jatin-Lalit","2018-01-25 14:48:14.328",TRUE,3
"Rainy Day","Shuggie Otis","2018-02-09 12:48:07.328",,3
"Modinha","Altemar Dutra","2018-02-06 02:17:38.416",,-3
"192 - Feuer auf Gut Ribbeck!","TKKG","2018-02-23 17:15:11.414",TRUE,3
"Milonga Del Peon De Campo","Atahualpa Yupanqui","2018-01-31 15:59:36.74",TRUE,3
"Quando Un Uomo Ama Una Donna","Various Artists","2018-02-23 19:43:28.396",TRUE,3
"O dolce meraviglia","José Carreras","2018-02-07 13:21:56.159",,3
"Finish What He Started","Steven Curtis Chapman","2018-02-09 09:47:07.715",TRUE,3
"Akusekho Ukulahlwa","Bright Catholic Christian Church Choir","2018-02-08 06:35:35.828",TRUE,3
"La Maimareña","Ariel Ramírez","2018-02-08 10:20:50.755",,3
